Date,User_ID,Subscription_Type,Country,Watch_Hours,Genre,Device_Type,Monthly_Fee,Rating_Given,Renewed
2024-02-26,U1056,Premium,UK,4.64,Drama,TV,649,1,Yes
2024-02-27,U1057,Standard,Canada,7.66,Drama,Mobile,499,5,Yes
2024-02-28,U1058,Basic,Australia,2.46,Drama,TV,199,5,Yes
2024-02-29,U1059,Premium,India,3.16,Comedy,Laptop,649,4,No
2024-03-01,U1060,Premium,Canada,2.57,Action,Tablet,199,3,No
2024-03-02,U1061,Standard,Canada,7.93,Thriller,Mobile,499,4,No
2024-03-03,U1062,Basic,Canada,6.41,Drama,Tablet,649,3,No
2024-03-04,U1063,Standard,UK,6.7,Romance,Laptop,649,4,No
2024-03-05,U1064,Basic,India,6.0,Drama,Tablet,499,5,No
2024-03-06,U1065,Premium,Australia,6.83,Romance,Laptop,499,1,Yes
2024-03-07,U1066,Basic,Australia,7.45,Drama,Laptop,649,4,Yes
2024-03-08,U1067,Basic,Australia,2.22,Romance,Laptop,499,2,No
2024-03-09,U1068,Premium,UK,3.11,Romance,Laptop,499,5,Yes
2024-03-10,U1069,Basic,Canada,3.69,Romance,Laptop,199,3,No
2024-03-11,U1070,Standard,India,6.04,Sci-Fi,Laptop,499,3,Yes
2024-03-12,U1071,Standard,Canada,4.14,Thriller,TV,649,3,No
2024-03-13,U1072,Basic,UK,2.24,Drama,Tablet,649,3,Yes
2024-03-14,U1073,Standard,India,3.41,Action,Mobile,199,2,Yes
2024-03-15,U1074,Standard,USA,3.14,Romance,Laptop,649,2,No
2024-03-16,U1075,Premium,India,1.67,Drama,Mobile,649,4,No
2024-03-17,U1076,Standard,Australia,1.72,Romance,Laptop,199,1,Yes
2024-03-18,U1077,Basic,Canada,4.55,Drama,Mobile,649,2,Yes
2024-03-19,U1078,Standard,USA,3.55,Comedy,Mobile,649,2,Yes
2024-03-20,U1079,Premium,UK,6.23,Thriller,Mobile,199,4,No
2024-03-21,U1080,Standard,Australia,4.06,Action,TV,649,3,Yes
2024-03-22,U1081,Premium,India,5.59,Romance,Tablet,199,1,Yes
2024-03-23,U1082,Premium,UK,7.34,Sci-Fi,Mobile,199,5,No
2024-03-24,U1083,Standard,Canada,2.71,Thriller,Mobile,499,4,No
2024-03-25,U1084,Basic,India,1.85,Comedy,Mobile,649,2,No
2024-03-26,U1085,Basic,India,6.24,Sci-Fi,TV,649,2,Yes
2024-03-27,U1086,Standard,Canada,6.37,Thriller,Tablet,649,5,No
2024-03-28,U1087,Premium,India,3.69,Romance,Tablet,199,5,Yes
2024-03-29,U1088,Premium,UK,6.91,Romance,Laptop,199,5,No
2024-03-30,U1089,Basic,India,3.02,Comedy,Mobile,499,4,Yes
2024-03-31,U1090,Standard,USA,3.1,Comedy,Tablet,649,3,No
2024-04-01,U1091,Premium,UK,6.9,Sci-Fi,Tablet,649,2,Yes
2024-04-02,U1092,Standard,UK,6.94,Action,Mobile,649,5,Yes
2024-04-03,U1093,Basic,Canada,4.9,Comedy,Tablet,199,2,Yes
2024-04-04,U1094,Standard,Canada,2.54,Action,TV,499,1,No
2024-04-05,U1095,Premium,Australia,5.19,Action,Laptop,199,4,No
2024-04-06,U1096,Standard,USA,5.89,Comedy,Laptop,499,4,Yes
2024-04-07,U1097,Standard,UK,5.04,Drama,Laptop,499,3,Yes
2024-04-08,U1098,Premium,Australia,2.39,Comedy,Mobile,499,5,No
2024-04-09,U1099,Basic,Canada,2.51,Action,Tablet,499,5,No
2024-04-10,U1100,Standard,USA,5.14,Romance,Tablet,499,1,Yes
2024-04-11,U1101,Basic,India,6.42,Romance,TV,199,1,No
2024-04-12,U1102,Basic,UK,1.79,Action,Laptop,649,4,Yes
2024-04-13,U1103,Basic,India,4.49,Comedy,Laptop,499,5,No
2024-04-14,U1104,Standard,India,7.82,Thriller,Laptop,199,3,Yes
2024-04-15,U1105,Premium,India,0.93,Drama,Laptop,499,5,Yes
2024-04-16,U1106,Standard,India,3.0,Sci-Fi,Tablet,199,4,Yes
2024-04-17,U1107,Basic,Australia,6.67,Action,Mobile,649,5,No
2024-04-18,U1108,Basic,UK,0.56,Romance,Laptop,199,1,No
2024-04-19,U1109,Basic,USA,2.97,Thriller,TV,199,1,No
2024-04-20,U1110,Standard,USA,1.22,Romance,TV,649,3,No
2024-04-21,U1111,Basic,Canada,4.17,Comedy,Laptop,499,3,No
2024-04-22,U1112,Standard,USA,2.75,Romance,Mobile,649,3,No
2024-04-23,U1113,Premium,Canada,6.45,Action,Laptop,649,5,No
2024-04-24,U1114,Basic,UK,0.93,Comedy,Laptop,199,5,No
2024-04-25,U1115,Basic,USA,2.15,Romance,Laptop,649,2,No
2024-04-26,U1116,Basic,India,3.41,Drama,TV,499,3,No
2024-04-27,U1117,Basic,USA,1.55,Drama,TV,199,2,No
2024-04-28,U1118,Standard,UK,6.56,Romance,Laptop,199,3,Yes
2024-04-29,U1119,Basic,UK,2.17,Action,TV,649,2,No
2024-04-30,U1120,Premium,Australia,0.51,Romance,TV,649,1,No
2024-05-01,U1121,Basic,Canada,5.11,Drama,Tablet,649,5,Yes
2024-05-02,U1122,Standard,Canada,1.77,Action,Laptop,499,4,Yes
2024-05-03,U1123,Premium,Australia,2.12,Thriller,Mobile,199,2,Yes
2024-05-04,U1124,Standard,Canada,3.48,Action,Laptop,199,3,Yes
2024-05-05,U1125,Basic,India,0.63,Romance,TV,199,5,No
2024-05-06,U1126,Standard,Australia,5.52,Sci-Fi,Mobile,649,4,Yes
2024-05-07,U1127,Premium,UK,4.15,Sci-Fi,Tablet,649,1,No
2024-05-08,U1128,Premium,UK,5.67,Thriller,TV,649,1,Yes
2024-05-09,U1129,Basic,Australia,3.47,Action,Tablet,199,5,No
2024-05-10,U1130,Basic,USA,6.5,Romance,TV,499,4,No
2024-05-11,U1131,Standard,UK,4.49,Thriller,Mobile,649,2,Yes
2024-05-12,U1132,Standard,Australia,6.28,Sci-Fi,TV,499,5,No
2024-05-13,U1133,Basic,Australia,7.02,Action,TV,649,3,No
2024-05-14,U1134,Basic,India,6.68,Sci-Fi,Mobile,499,1,Yes
2024-05-15,U1135,Basic,Canada,7.65,Romance,Mobile,199,1,Yes
2024-05-16,U1136,Basic,Canada,6.23,Drama,Mobile,199,3,Yes
2024-05-17,U1137,Standard,Canada,3.72,Sci-Fi,TV,649,4,Yes
2024-05-18,U1138,Premium,Australia,4.94,Sci-Fi,TV,199,1,No
2024-05-19,U1139,Premium,India,4.2,Thriller,Tablet,649,5,No
2024-05-20,U1140,Premium,Australia,3.26,Thriller,Tablet,199,1,Yes
2024-05-21,U1141,Standard,UK,6.44,Action,Laptop,649,4,No
2024-05-22,U1142,Premium,Canada,6.86,Drama,Mobile,649,2,No
2024-05-23,U1143,Premium,USA,0.74,Romance,Tablet,649,5,No
2024-05-24,U1144,Premium,India,4.0,Drama,TV,649,2,No
2024-05-25,U1145,Premium,India,6.35,Comedy,TV,199,5,No
2024-05-26,U1146,Standard,USA,0.75,Thriller,TV,199,4,Yes
2024-05-27,U1147,Standard,Canada,7.05,Thriller,Mobile,199,5,Yes
2024-05-28,U1148,Premium,Canada,0.94,Sci-Fi,Laptop,199,5,Yes
2024-05-29,U1149,Standard,Canada,2.13,Comedy,Mobile,199,4,No
2024-05-30,U1150,Premium,Canada,5.13,Romance,TV,199,5,No
2024-05-31,U1151,Premium,USA,5.57,Romance,Laptop,499,2,Yes
2024-06-01,U1152,Basic,India,2.23,Sci-Fi,Mobile,649,3,Yes
2024-06-02,U1153,Premium,USA,0.61,Thriller,TV,499,1,No
2024-06-03,U1154,Premium,India,4.19,Sci-Fi,Laptop,649,2,Yes
2024-06-04,U1155,Premium,Canada,7.18,Sci-Fi,Mobile,199,1,Yes
2024-06-05,U1156,Premium,UK,6.4,Thriller,Laptop,499,2,Yes
2024-06-06,U1157,Basic,Australia,2.96,Sci-Fi,TV,499,2,No
2024-06-07,U1158,Standard,UK,2.07,Sci-Fi,Laptop,649,3,Yes
2024-06-08,U1159,Basic,Australia,2.2,Drama,Mobile,649,1,Yes
2024-06-09,U1160,Premium,India,5.6,Comedy,Mobile,199,5,No
2024-06-10,U1161,Basic,Canada,0.51,Action,Laptop,199,4,No
2024-06-11,U1162,Premium,Canada,1.08,Thriller,Mobile,649,5,Yes
2024-06-12,U1163,Premium,USA,5.57,Sci-Fi,Mobile,499,4,Yes
2024-06-13,U1164,Premium,USA,7.88,Drama,TV,199,4,Yes
2024-06-14,U1165,Premium,UK,7.29,Comedy,Laptop,649,1,Yes
2024-06-15,U1166,Standard,UK,1.61,Comedy,Laptop,649,2,Yes
2024-06-16,U1167,Standard,Australia,2.7,Drama,TV,649,2,No
2024-06-17,U1168,Basic,Canada,6.92,Sci-Fi,TV,499,4,Yes
2024-06-18,U1169,Standard,India,2.92,Thriller,Mobile,649,3,Yes
2024-06-19,U1170,Premium,UK,1.84,Drama,TV,649,3,No
2024-06-20,U1171,Standard,Canada,7.77,Romance,Mobile,649,1,Yes
2024-06-21,U1172,Standard,Australia,3.94,Sci-Fi,Laptop,649,2,Yes
2024-06-22,U1173,Basic,USA,3.7,Comedy,Tablet,649,4,Yes
2024-06-23,U1174,Premium,Canada,7.51,Action,TV,499,1,No
2024-06-24,U1175,Premium,Australia,7.82,Thriller,TV,199,5,No
2024-06-25,U1176,Premium,India,2.08,Action,Tablet,649,2,Yes
2024-06-26,U1177,Standard,UK,0.87,Comedy,Mobile,649,3,No
2024-06-27,U1178,Standard,Canada,7.43,Comedy,Mobile,199,2,Yes
2024-06-28,U1179,Standard,USA,7.01,Romance,Mobile,199,2,Yes
2024-06-29,U1180,Premium,Australia,7.37,Thriller,Laptop,199,3,Yes
2024-06-30,U1181,Standard,India,5.22,Romance,Tablet,199,2,No
2024-07-01,U1182,Standard,USA,1.88,Comedy,Mobile,199,3,No
2024-07-02,U1183,Premium,India,2.9,Thriller,Tablet,649,5,No
2024-07-03,U1184,Standard,USA,1.88,Thriller,TV,199,1,No
2024-07-04,U1185,Premium,UK,1.65,Sci-Fi,Tablet,649,1,Yes
2024-07-05,U1186,Premium,India,2.35,Comedy,Laptop,199,4,No
2024-07-06,U1187,Basic,USA,1.97,Drama,TV,649,3,Yes
2024-07-07,U1188,Premium,India,4.74,Action,Tablet,649,4,Yes
2024-07-08,U1189,Basic,Australia,1.46,Comedy,TV,649,2,No
2024-07-09,U1190,Premium,India,5.26,Sci-Fi,Mobile,199,4,No
2024-07-10,U1191,Basic,UK,1.25,Sci-Fi,Mobile,199,3,No
2024-07-11,U1192,Premium,Australia,1.23,Action,TV,499,3,Yes
2024-07-12,U1193,Premium,UK,4.67,Comedy,Tablet,499,2,Yes
2024-07-13,U1194,Premium,Canada,4.19,Thriller,TV,199,2,Yes
2024-07-14,U1195,Basic,USA,4.07,Thriller,TV,649,2,No
2024-07-15,U1196,Premium,Canada,0.52,Thriller,TV,499,1,Yes
2024-07-16,U1197,Basic,UK,4.15,Action,Mobile,199,3,Yes
2024-07-17,U1198,Premium,Canada,4.86,Romance,Laptop,499,5,No
2024-07-18,U1199,Standard,USA,4.58,Action,Mobile,499,4,No
2024-07-19,U1200,Basic,USA,1.12,Sci-Fi,Laptop,499,2,Yes
2024-07-20,U1201,Standard,USA,5.61,Comedy,Mobile,649,3,Yes
2024-07-21,U1202,Basic,USA,1.74,Action,TV,199,1,No
2024-07-22,U1203,Standard,UK,1.12,Comedy,Mobile,199,2,No
2024-07-23,U1204,Standard,Canada,5.92,Thriller,TV,499,5,No
2024-07-24,U1205,Basic,Canada,7.71,Romance,Laptop,649,2,No
2024-07-25,U1206,Basic,UK,7.07,Thriller,Laptop,499,2,No
2024-07-26,U1207,Premium,USA,4.78,Action,Laptop,499,3,No
2024-07-27,U1208,Premium,Australia,5.91,Sci-Fi,Tablet,649,3,Yes
2024-07-28,U1209,Basic,USA,5.77,Romance,Laptop,499,3,Yes
2024-07-29,U1210,Standard,Australia,3.58,Romance,Laptop,199,2,Yes
2024-07-30,U1211,Premium,India,7.88,Comedy,TV,199,1,Yes
2024-07-31,U1212,Basic,India,3.17,Sci-Fi,Mobile,649,2,Yes
2024-08-01,U1213,Basic,UK,7.99,Comedy,Tablet,199,5,Yes
2024-08-02,U1214,Basic,Canada,3.57,Thriller,Laptop,199,3,Yes
2024-08-03,U1215,Standard,UK,3.9,Thriller,Mobile,199,1,No
2024-08-04,U1216,Standard,USA,6.95,Comedy,Mobile,199,3,No
2024-08-05,U1217,Standard,Canada,3.77,Drama,Tablet,199,5,Yes
2024-08-06,U1218,Standard,Canada,5.89,Comedy,Tablet,499,5,Yes
2024-08-07,U1219,Premium,USA,7.52,Drama,Laptop,499,4,No
2024-08-08,U1220,Premium,UK,0.61,Action,Laptop,499,2,Yes
2024-08-09,U1221,Standard,Australia,1.72,Thriller,Laptop,499,2,Yes
2024-08-10,U1222,Basic,Australia,6.77,Romance,TV,649,2,Yes
2024-08-11,U1223,Premium,UK,7.58,Action,Laptop,649,5,Yes
2024-08-12,U1224,Basic,USA,7.16,Drama,Laptop,199,3,Yes
2024-08-13,U1225,Premium,Canada,6.72,Drama,TV,499,4,Yes
2024-08-14,U1226,Basic,USA,6.5,Action,Laptop,199,3,No
2024-08-15,U1227,Premium,India,1.76,Comedy,Tablet,499,2,Yes
2024-08-16,U1228,Standard,India,5.91,Romance,Mobile,649,4,Yes
2024-08-17,U1229,Basic,India,1.58,Thriller,Mobile,499,3,No
2024-08-18,U1230,Standard,India,7.76,Romance,Laptop,649,2,No
2024-08-19,U1231,Premium,Australia,6.13,Drama,Laptop,649,3,No
2024-08-20,U1232,Standard,India,1.2,Action,TV,649,4,Yes
2024-08-21,U1233,Basic,India,5.2,Action,TV,199,2,No
2024-08-22,U1234,Standard,UK,3.48,Comedy,TV,649,4,No
2024-08-23,U1235,Premium,India,6.11,Action,TV,649,2,No
2024-08-24,U1236,Premium,UK,0.73,Romance,Mobile,199,3,Yes
2024-08-25,U1237,Standard,UK,6.31,Comedy,TV,649,3,Yes
2024-08-26,U1238,Standard,India,7.97,Sci-Fi,Laptop,199,2,No
2024-08-27,U1239,Standard,USA,2.67,Comedy,Laptop,649,3,Yes
2024-08-28,U1240,Basic,USA,3.3,Romance,Laptop,649,5,No
2024-08-29,U1241,Basic,USA,1.95,Comedy,TV,499,2,Yes
2024-08-30,U1242,Standard,USA,5.9,Action,Laptop,199,4,Yes
2024-08-31,U1243,Premium,Canada,2.65,Action,Mobile,199,4,No
2024-09-01,U1244,Premium,Canada,5.34,Romance,Laptop,649,2,Yes
2024-09-02,U1245,Standard,Australia,1.15,Sci-Fi,TV,199,1,No
2024-09-03,U1246,Basic,India,4.79,Sci-Fi,TV,499,4,No
2024-09-04,U1247,Premium,USA,1.64,Comedy,Laptop,649,4,No
2024-09-05,U1248,Basic,UK,5.35,Thriller,Mobile,499,2,Yes
2024-09-06,U1249,Standard,UK,1.35,Thriller,Mobile,499,1,Yes
2024-09-07,U1250,Premium,Canada,4.73,Sci-Fi,Tablet,649,2,No
2024-09-08,U1251,Standard,Canada,6.08,Romance,Mobile,649,2,No
2024-09-09,U1252,Basic,USA,4.68,Comedy,Mobile,199,5,No
2024-09-10,U1253,Premium,Australia,6.9,Sci-Fi,Laptop,649,5,Yes
2024-09-11,U1254,Basic,India,0.79,Action,Laptop,649,2,Yes
2024-09-12,U1255,Standard,India,5.86,Sci-Fi,Mobile,499,1,No
2024-09-13,U1256,Standard,USA,2.92,Drama,Mobile,499,5,No
2024-09-14,U1257,Standard,Australia,1.26,Sci-Fi,Tablet,649,4,No
2024-09-15,U1258,Premium,India,3.28,Thriller,Laptop,649,2,Yes
2024-09-16,U1259,Premium,Australia,6.66,Comedy,Laptop,649,3,Yes
2024-09-17,U1260,Premium,USA,7.85,Comedy,Laptop,199,2,Yes
2024-09-18,U1261,Premium,UK,7.46,Action,Laptop,499,2,Yes
2024-09-19,U1262,Standard,Canada,2.17,Comedy,Tablet,649,2,No
2024-09-20,U1263,Standard,Canada,3.32,Action,TV,199,2,Yes
2024-09-21,U1264,Standard,USA,5.1,Sci-Fi,TV,649,4,Yes
2024-09-22,U1265,Standard,Australia,1.19,Comedy,Mobile,199,3,No
2024-09-23,U1266,Premium,USA,5.29,Sci-Fi,Tablet,649,3,No
2024-09-24,U1267,Basic,USA,0.7,Comedy,Tablet,199,1,Yes
2024-09-25,U1268,Premium,Australia,1.71,Action,Laptop,499,4,Yes
2024-09-26,U1269,Standard,UK,1.73,Drama,TV,499,5,No
2024-09-27,U1270,Standard,USA,6.22,Comedy,Laptop,499,3,Yes
2024-09-28,U1271,Basic,Australia,5.34,Thriller,Mobile,499,1,No
2024-09-29,U1272,Basic,USA,3.36,Thriller,Tablet,199,2,No
2024-09-30,U1273,Premium,Canada,4.7,Drama,Mobile,499,5,Yes
2024-10-01,U1274,Standard,UK,5.31,Action,Mobile,499,3,Yes
2024-10-02,U1275,Premium,UK,1.78,Comedy,Laptop,199,5,Yes
2024-10-03,U1276,Standard,Australia,0.51,Drama,TV,199,5,Yes
2024-10-04,U1277,Standard,USA,2.21,Romance,Tablet,499,3,Yes
2024-10-05,U1278,Basic,UK,2.1,Comedy,TV,649,3,No
2024-10-06,U1279,Standard,Australia,1.16,Thriller,Tablet,499,3,No
2024-10-07,U1280,Standard,Australia,6.83,Action,Tablet,499,1,Yes
2024-10-08,U1281,Premium,India,5.12,Romance,Tablet,649,5,Yes
2024-10-09,U1282,Premium,Australia,2.72,Thriller,Mobile,199,4,Yes
2024-10-10,U1283,Basic,UK,4.27,Sci-Fi,Laptop,499,5,No
2024-10-11,U1284,Basic,India,2.87,Drama,Laptop,649,5,Yes
2024-10-12,U1285,Standard,UK,2.63,Drama,Mobile,499,2,Yes
2024-10-13,U1286,Standard,India,0.97,Thriller,Laptop,199,1,No
2024-10-14,U1287,Basic,USA,7.98,Action,Laptop,199,5,No
2024-10-15,U1288,Premium,India,1.07,Comedy,Laptop,649,5,Yes
2024-10-16,U1289,Premium,Australia,5.26,Action,TV,499,3,No
2024-10-17,U1290,Standard,Australia,6.04,Romance,TV,199,4,Yes
2024-10-18,U1291,Premium,India,5.42,Thriller,Tablet,199,4,No
2024-10-19,U1292,Basic,India,6.5,Thriller,Mobile,199,3,No
2024-10-20,U1293,Basic,Canada,2.06,Romance,TV,499,4,No
2024-10-21,U1294,Basic,Canada,2.43,Comedy,Tablet,649,2,Yes
2024-10-22,U1295,Standard,Australia,3.22,Sci-Fi,Laptop,499,1,No
2024-10-23,U1296,Basic,Australia,0.58,Comedy,TV,499,3,No
2024-10-24,U1297,Basic,USA,7.51,Drama,Laptop,499,2,Yes
2024-10-25,U1298,Premium,UK,4.2,Action,Laptop,649,2,No
2024-10-26,U1299,Basic,UK,2.24,Drama,Mobile,649,3,Yes
